date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:37	12169/12169	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:58:36%20GMT	http://schema.geolink.org/1.0/pattern/personname.html	mirror/schema.geolink.org/1.0/pattern/personname.html	(from http://schema.geolink.org/patterns/index.html)
21:58:41	8301/8301	---M--	200	added ('OK')	text/xml	etag:%2245e0121-206d-547acfdc44a40%22	http://schema.geolink.org/1.0/pattern/personname.owl	mirror/schema.geolink.org/1.0/pattern/personname.owl	(from http://schema.geolink.org/patterns/index.html)
21:58:41	348/348	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:58:39%20GMT	http://schema.geolink.org/1.0/pattern/physicalsample	mirror/schema.geolink.org/1.0/pattern/physicalsample	(from http://schema.geolink.org/patterns/index.html)
21:58:43	17229/17229	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:58:41%20GMT	http://schema.geolink.org/1.0/pattern/physicalsample.html	mirror/schema.geolink.org/1.0/pattern/physicalsample.html	(from http://schema.geolink.org/patterns/index.html)
21:58:45	339/339	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:58:45%20GMT	http://schema.geolink.org/1.0/pattern/place	mirror/schema.geolink.org/1.0/pattern/place	(from http://schema.geolink.org/patterns/index.html)
21:58:47	8057/8057	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:58:46%20GMT	http://schema.geolink.org/1.0/pattern/place.html	mirror/schema.geolink.org/1.0/pattern/place.html	(from http://schema.geolink.org/patterns/index.html)
21:58:47	10245/10245	---M--	200	added ('OK')	text/xml	etag:%2245e0130-2805-56000f4a0d200%22	http://schema.geolink.org/1.0/pattern/physicalsample.owl	mirror/schema.geolink.org/1.0/pattern/physicalsample.owl	(from http://schema.geolink.org/patterns/index.html)
21:58:51	5218/5218	---M--	200	added ('OK')	text/xml	etag:%2245e011a-1462-55fad5899ab00%22	http://schema.geolink.org/1.0/pattern/place.owl	mirror/schema.geolink.org/1.0/pattern/place.owl	(from http://schema.geolink.org/patterns/index.html)
21:58:51	342/342	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:58:49%20GMT	http://schema.geolink.org/1.0/pattern/platform	mirror/schema.geolink.org/1.0/pattern/platform	(from http://schema.geolink.org/patterns/index.html)
21:58:53	4309/4309	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:58:51%20GMT	http://schema.geolink.org/1.0/pattern/platform.html	mirror/schema.geolink.org/1.0/pattern/platform.html	(from http://schema.geolink.org/patterns/index.html)
21:58:55	2398/2398	---M--	200	added ('OK')	text/xml	etag:%2245e0128-95e-5477c96054d80%22	http://schema.geolink.org/1.0/pattern/platform.owl	mirror/schema.geolink.org/1.0/pattern/platform.owl	(from http://schema.geolink.org/patterns/index.html)
21:58:57	341/341	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:58:55%20GMT	http://schema.geolink.org/1.0/pattern/program	mirror/schema.geolink.org/1.0/pattern/program	(from http://schema.geolink.org/patterns/index.html)
21:58:59	17827/17827	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:58:57%20GMT	http://schema.geolink.org/1.0/pattern/program.html	mirror/schema.geolink.org/1.0/pattern/program.html	(from http://schema.geolink.org/patterns/index.html)
21:59:01	249825/249825	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:57:34%20GMT	http://schema.geolink.org/1.0/base/main.html	mirror/schema.geolink.org/1.0/base/main.html	(from http://schema.geolink.org/index.html)
21:59:03	10639/10639	---M--	200	added ('OK')	text/xml	etag:%2245e011b-298f-55fd516fe7180%22	http://schema.geolink.org/1.0/pattern/program.owl	mirror/schema.geolink.org/1.0/pattern/program.owl	(from http://schema.geolink.org/patterns/index.html)
21:59:03	347/347	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:59:01%20GMT	http://schema.geolink.org/1.0/pattern/propertyvalue	mirror/schema.geolink.org/1.0/pattern/propertyvalue	(from http://schema.geolink.org/patterns/index.html)
